opcode,count,mean,min,max,sum
add,31,0.000588,0.000588,0.000588,0.018228
bit_and,1,0.000588,0.000588,0.000588,0.000588
bit_or,1,0.000588,0.000588,0.000588,0.000588
br_false,24,0.000441,0.000441,0.000441,0.010584
br_true,17,0.000441,0.000441,0.000441,0.007497
branch,28,0.000294,0.000294,0.000294,0.008232
call,16,0.004226,0.004043,0.00441,0.067624
cast_u128,5,0.000441,0.000441,0.000441,0.002205
cast_u16,5,0.000441,0.000441,0.000441,0.002205
cast_u256,5,0.000441,0.000441,0.000441,0.002205
cast_u32,5,0.000441,0.000441,0.000441,0.002205
cast_u64,5,0.000441,0.000441,0.000441,0.002205
cast_u8,5,0.000441,0.000441,0.000441,0.002205
copy_loc,128,0.000854,0.000854,0.000854,0.109312
create_ty,121,0.000615,0.0004,0.0012,0.0744
div,1,0.000588,0.000588,0.000588,0.000588
eq,1,0.001487,0.001487,0.001487,0.001487
exists,4,0.000919,0.000919,0.000919,0.003676
exists_generic,11,0.000919,0.000919,0.000919,0.010109
ge,1,0.000588,0.000588,0.000588,0.000588
gt,1,0.000588,0.000588,0.000588,0.000588
imm_borrow_field,24,0.000735,0.000735,0.000735,0.01764
imm_borrow_field_generic,6,0.000735,0.000735,0.000735,0.00441
imm_borrow_global,11,0.001838,0.001838,0.001838,0.020218
imm_borrow_global_generic,1,0.001838,0.001838,0.001838,0.001838
imm_borrow_loc,6,0.00022,0.00022,0.00022,0.00132
ld_false,2,0.00022,0.00022,0.00022,0.00044
ld_true,3,0.00022,0.00022,0.00022,0.00066
ld_u128,6,0.000294,0.000294,0.000294,0.001764
ld_u16,2,0.00022,0.00022,0.00022,0.00044
ld_u256,6,0.000294,0.000294,0.000294,0.001764
ld_u32,3,0.00022,0.00022,0.00022,0.00066
ld_u64,64,0.00022,0.00022,0.00022,0.01408
ld_u8,3,0.00022,0.00022,0.00022,0.00066
le,1,0.000588,0.000588,0.000588,0.000588
lt,17,0.000588,0.000588,0.000588,0.009996
mod,16,0.000588,0.000588,0.000588,0.009408
move_from,1,0.001286,0.001286,0.001286,0.001286
move_loc,87,0.000441,0.000441,0.000441,0.038367
move_to,5,0.001838,0.001838,0.001838,0.00919
move_to_generic,6,0.001838,0.001838,0.001838,0.011028
mul,1,0.000588,0.000588,0.000588,0.000588
mut_borrow_field,2,0.000735,0.000735,0.000735,0.00147
mut_borrow_field_generic,2,0.000735,0.000735,0.000735,0.00147
mut_borrow_global,1,0.001838,0.001838,0.001838,0.001838
mut_borrow_global_generic,1,0.001838,0.001838,0.001838,0.001838
mut_borrow_loc,5,0.00022,0.00022,0.00022,0.0011
neq,2,0.001487,0.001487,0.001487,0.002974
not,1,0.000588,0.000588,0.000588,0.000588
pack,17,0.00105,0.000955,0.00169,0.017852
pop,85,0.000147,0.000147,0.000147,0.012495
read_ref,39,0.001295,0.001295,0.001295,0.050505
ret,27,0.00022,0.00022,0.00022,0.00594
shl,2,0.000588,0.000588,0.000588,0.001176
shr,2,0.000588,0.000588,0.000588,0.001176
st_loc,56,0.000441,0.000441,0.000441,0.024696
sub,2,0.000588,0.000588,0.000588,0.001176
unpack,2,0.001028,0.000955,0.001102,0.002057
vec_imm_borrow,1,0.001213,0.001213,0.001213,0.001213
vec_len,1,0.000808,0.000808,0.000808,0.000808
vec_pack,3,0.002205,0.002205,0.002205,0.006615
vec_pop_back,1,0.000955,0.000955,0.000955,0.000955
vec_push_back,4,0.001396,0.001396,0.001396,0.005584
write_ref,3,0.000735,0.000735,0.000735,0.002205
xor,1,0.000588,0.000588,0.000588,0.000588
